City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1616,Cabedelo,BR,76.12,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
1625,Katherine,AU,82.72,clear sky,-14.4667,132.2667,Pine Tree Motel
1626,Butaritari,KI,81.52,light rain,3.0707,172.7902,Isles Sunset Lodge
1632,Berezovyy,RU,81.68,light rain,51.6667,135.7,"Hotel ""Phoenix"""
1640,Eydhafushi,MV,77.7,moderate rain,5.1033,73.0708,Soneva Fushi
1647,Sembakung,ID,76.01,overcast clouds,3.8167,117.25,
1649,Atuona,PF,77.23,few clouds,-9.8,-139.0333,Villa Enata
1650,Havelock,US,79.97,overcast clouds,34.8791,-76.9013,Sherwood Motel
1663,Atuona,PF,77.23,few clouds,-9.8,-139.0333,Villa Enata
1668,Filadelfia,US,75.49,light rain,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
1670,Palasa,IN,84.06,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
1674,Butaritari,KI,81.52,light rain,3.0707,172.7902,Isles Sunset Lodge
1683,Mao,ES,75.76,clear sky,39.8885,4.2658,ARTIEM Capri
1687,Atuona,PF,77.23,few clouds,-9.8,-139.0333,Villa Enata
1690,Teknaf,BD,84.45,overcast clouds,20.8624,92.3058,Forestry Guesthouse
1695,Dongsheng,CN,77.4,few clouds,39.8161,109.9776,Crowne Plaza Ordos
